,Headline,Url,Date
0,Trinamool Candidate For Goa Polls Arrested In Cheque Bouncing Case,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/assembly-goa/trinamool-candidate-for-goa-polls-arrested-in-cheque-bouncing-case-2724200,28/5/22
1,3 Of Family Killed As Car Collides With Bus Going To PM's Dehradun Rally,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/3-of-family-killed-as-car-collides-with-bus-going-to-pm-modis-dehradun-rally-2637045,28/5/22
2,"5-Year-Old Girl Kidnapped And Raped, Strangled To Death In Dehradun: Police",https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/5-year-old-girl-kidnapped-and-raped-strangled-to-death-in-dehradun-police-2477279,28/5/22
3,BJP Mahila Morcha Leader Arrested In Land Grabbing Case In Dehradun,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/others-news/dehradun-bjp-mahila-morcha-leader-arrested-in-land-grabbing-case-2463329,28/5/22
4,Avoid Haridwar Route If Not Visiting Kumbh: Uttarakhand Top Cop,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/avoid-haridwar-route-if-not-visiting-kumbh-ukhand-dgp-2410386,28/5/22
5,COVID-19 Test Mandatory For Entering Uttarakhand,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/covid-19-test-mandatory-for-entering-uttarakhand-2331557,28/5/22
6,Dehradun Man Swept Away In Song River While Trying To Take Selfie,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/dehradun-man-swept-away-in-song-river-while-trying-to-take-selfie-2288137,28/5/22
7,Man Shoots At Boy After Being Hit By Cricket Ball In Uttarakhand,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/uttarakhand-man-shoots-at-boy-after-being-hit-by-cricket-ball-2180405,28/5/22
8,Dehradun Doctor Among Three Arrested In Fake Currency Racket,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/doctor-among-three-arrested-in-fake-currency-racket-in-dehradun-2164954,28/5/22
9,"Dehradun Boy, Attending Delhi Shooting Contest, Electrocuted In OYO Hotel",https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/delhi-news/dehradun-uttarakhand-teen-electrocuted-in-pul-prahladpur-delhi-oyo-hotel-room-2116785,28/5/22
10,"Blind Boy, 11, Sexually Assaulted By 16-Year-Old In Dehradun",https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/blind-boy-11-sexually-assaulted-by-16-year-old-in-dehradun-2101804,28/5/22
11,Kingpin Of Bitcoin Scam Worth Rs 485 Crore Murdered In Dehradun: Police,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/kingpin-of-bitcoin-scam-worth-rs-485-crore-murdered-by-associates-in-dehradun-police-2093504,28/5/22
12,"Delhi Boy, 11, Sexually Abused By Senior In Dehradun Boarding School: Police",https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/delhi-boy-11-sexually-abused-by-senior-in-dehradun-boarding-school-police-2083305,28/5/22
13,11-Year-Old Charged For Allegedly Raping 3-Year-Old Girl In Dehradun,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/11-year-old-charged-for-allegedly-raping-4-year-old-girl-in-dehradun-2057278,28/5/22
14,Six Killed After Car Falls Into Gorge In Dehradun,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/six-killed-after-car-falls-into-gorge-in-dehradun-2054748,28/5/22
15,Trinamool Candidate For Goa Polls Arrested In Cheque Bouncing Case,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/assembly-goa/trinamool-candidate-for-goa-polls-arrested-in-cheque-bouncing-case-2724200,28/5/22
16,3 Of Family Killed As Car Collides With Bus Going To PM's Dehradun Rally,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/3-of-family-killed-as-car-collides-with-bus-going-to-pm-modis-dehradun-rally-2637045,28/5/22
17,"5-Year-Old Girl Kidnapped And Raped, Strangled To Death In Dehradun: Police",https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/cities/5-year-old-girl-kidnapped-and-raped-strangled-to-death-in-dehradun-police-2477279,28/5/22
18,BJP Mahila Morcha Leader Arrested In Land Grabbing Case In Dehradun,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/others-news/dehradun-bjp-mahila-morcha-leader-arrested-in-land-grabbing-case-2463329,28/5/22
19,Avoid Haridwar Route If Not Visiting Kumbh: Uttarakhand Top Cop,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/avoid-haridwar-route-if-not-visiting-kumbh-ukhand-dgp-2410386,28/5/22
20,COVID-19 Test Mandatory For Entering Uttarakhand,https://www.ndtv.com/topic/dehradun-policehttps://www.ndtv.com/india-news/covid-19-test-mandatory-for-entering-uttarakhand-2331557,28/5/22
