,Headline,Url,Date
30,2 new suspension bridges to Nepal open for public,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/2-new-suspension-bridges-to-nepal-open-for-public/articleshow/91820626.cms,23/11/22
31,"‘After initial success, Ghasyari Yojana extended to 4 more dists’",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/after-initial-success-ghasyari-yojana-extended-to-4-more-dists/articleshow/91820609.cms,23/11/22
32,"Ex-Uttarakhand minister Rajendra Bahuguna climbs water tank, shoots himself dead",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/former-mos-climbs-water-tank-shoots-himself-dead/articleshow/91820591.cms,23/11/22
33,"After a break of two years due to the pandemic, National Handloom Expo takes place in Doon; Haridwar prisoners and women groups showcase designs",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/after-a-break-of-two-years-due-to-the-pandemic-national-handloom-expo-takes-place-in-doon-haridwar-prisoners-and-women-groups-showcase-designs/articleshow/91820548.cms,23/11/22
34,Cong steps up campaign in last week of Champawat bypoll,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/cong-steps-up-campaign-in-last-week-of-champawat-bypoll/articleshow/91820540.cms,23/11/22
35,Constable injured in encounter with thugs,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/constable-injured-in-encounter-with-thugs/articleshow/91820537.cms,23/11/22
36,Enhancing hydro-power capacity key for energy policy: Cabinet minister,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/enhancing-hydro-power-capacity-key-for-energy-policy-cabinet-minister/articleshow/91820529.cms,23/11/22
37,Flip-flop over photography point at Kedar; Cong and some in BJP oppose move,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/flip-flop-over-photography-point-at-kedar-cong-and-some-in-bjp-oppose-move/articleshow/91820519.cms,23/11/22
38,Collectors head to high altitudes in U’khand to find Himalayan viagra,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/collectors-head-to-high-altitudes-in-ukhand-to-find-himalayan-viagra/articleshow/91820499.cms,23/11/22
39,Two new suspension bridges to Nepal open for public,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/two-new-suspension-bridges-to-nepal-open-for-public/articleshow/91820483.cms,23/11/22
40,"Asian elephants in U'khand found feeding on plastic sachets, spoons, broken glasses & wires: Study",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/asian-elephants-in-ukhand-found-feeding-on-plastic-sachets-spoons-broken-glasses-wires-study/articleshow/91820778.cms,23/11/22
41,Dehradun: Congress steps up bypoll drive in Champawat,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/cong-steps-up-bypoll-drive-in-champawat/articleshow/91822498.cms,23/11/22
42,Compost from waste to be given to farmers soon,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/compost-from-waste-to-be-given-to-farmers-soon/articleshow/91822493.cms,23/11/22
43,"‘After initial success, Ghasyari Yojana extended to 4 more dists’",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/after-initial-success-ghasyari-yojana-extended-to-4-more-dists/articleshow/91822491.cms,23/11/22
44,"Mussoorie lake is a symbol of mismanagement, say locals",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/mussoorie-lake-is-a-symbol-of-mismanagement-say-locals/articleshow/91822489.cms,23/11/22
45,Collectors head to high altitudes in U’khand to find Himalayan viagra,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/collectors-head-to-high-altitudes-in-ukhand-to-find-himalayan-viagra/articleshow/91822486.cms,23/11/22
46,"Man, 20, killed in ‘student rivalry’, probe underway",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/man-20-killed-in-student-rivalry-probe-underway/articleshow/91801963.cms,23/11/22
47,Ravine where Sambar was found eating plastic cleaned,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/ravine-where-sambar-was-found-eating-plastic-cleaned/articleshow/91801959.cms,23/11/22
48,Uttarakhand govt to connect 17 tourist spots in Kumaon,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/ukhand-govt-to-connect-17-tourist-spots-in-kumaon/articleshow/91801955.cms,23/11/22
49,"Ongoing efforts not enough to prevent waterlogging in Dehradun, say residents",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/ongoing-efforts-not-enough-to-prevent-waterlogging-in-doon/articleshow/91801954.cms,23/11/22
50,dehradun,https://timesofindia.indiatimes.com/city/dehradun/citizen-reporter/stories/dehradun/articleshow/59765289.cms,23/11/22
51,Bikes parked in front of rail ticket counter,https://timesofindia.indiatimes.com/city/dehradun/citizen-reporter/stories/bikes-parked-in-front-of-rail-ticket-counter/articleshow/56238604.cms,23/11/22
52,UP News,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/lucknow/uttar-pradesh-news-live-updates-lucknow-gyanvapi-masjid-aimim-varanasi-covid-samajwadi-party-bjp-rajya-sabha-polls-may-25/liveblog/91778426.cms,23/11/22
53,Delhi Temperature,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/delhi-temperature,23/11/22
54,Chennai Weather,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/chennai-weather,23/11/22
55,Bangalore Temperature,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/bangalore-temperature,23/11/22
56,Pillion Riders,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/mumbai/pillion-riders-without-helmets-will-be-fined-after-fortnight-mumbai-police/articleshow/91786225.cms,23/11/22
57,Coronavirus in Delhi,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/coronavirus/india/delhi,23/11/22
58,RTPCR test in Gurgaon,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/gurgaon/covid-rt-pcr-test-at-home-gurugram-list-of-labs-offering-home-sample-collection-facilities/articleshow/82214246.cms,23/11/22
59,Hyderabad Rain,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/Hyderabad-Rains,23/11/22
60,Pollution level in Bangalore,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/bengaluru/pollution-news,23/11/22
61,Delhi Smog,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/delhi-smog,23/11/22
62,Delhi Temperature,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/delhi-temperature,23/11/22
63,Noida AQI,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/noida/pollution-news,23/11/22
64,Gurgaon AQI today,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/gurgaon/pollution-news,23/11/22
65,Fire in Mumbai,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/fire-in-mumbai,23/11/22
66,Mumbai Rains,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/mumbai-rain,23/11/22
67,Covid 19 RT PCR Test in Noida,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/noida/rt-pcr-test-at-home-in-noida-list-of-labs-accepting-home-sample-collection-requests/articleshow/82213145.cms,23/11/22
68,Delhi AQI today,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/india/pollution-news,23/11/22
69,Srinagar encounter,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/topic/srinagar-encounter,23/11/22
70,Varanasi news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/varanasi,23/11/22
71,Shimla news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/shimla,23/11/22
72,Srinagar news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/srinagar,23/11/22
73,Patna news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/patna,23/11/22
74,Meerut news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/meerut,23/11/22
75,Madurai news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/madurai,23/11/22
76,Lucknow news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/lucknow,23/11/22
77,Kanpur news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/kanpur,23/11/22
78,Jammu news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/jammu,23/11/22
79,Jaipur news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/jaipur,23/11/22
80,Ghaziabad news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/ghaziabad,23/11/22
81,Faridabad news,https://timesofindia.indiatimes.com/city/dehradunhttps://timesofindia.indiatimes.com/city/faridabad,23/11/22
